2025-04-11 18:38:50,368 [INFO] Loading data...
2025-04-11 18:38:50,498 [INFO] Loaded 3274 training sequences and 834 test sequences
2025-04-11 18:38:50,498 [INFO] Created DataLoader with batch size 32
2025-04-11 18:38:50,499 [INFO] Creating model with 124 questions and 200 hidden units
2025-04-11 18:38:50,500 [INFO] Using device: cpu
2025-04-11 18:39:16,505 [INFO] Epoch 1, Batch 55: Loss = 0.5138
2025-04-11 18:39:16,869 [INFO] Epoch 1, Batch 56: Loss = 0.5310
2025-04-11 18:39:17,073 [INFO] Epoch 1, Batch 57: Loss = 0.4330
2025-04-11 18:39:17,657 [INFO] Epoch 1, Batch 58: Loss = 0.5611
2025-04-11 18:39:18,237 [INFO] Epoch 1, Batch 59: Loss = 0.4206
2025-04-11 18:39:18,712 [INFO] Epoch 1, Batch 60: Loss = 0.6203
2025-04-11 18:39:19,034 [INFO] Epoch 1, Batch 61: Loss = 0.6166
2025-04-11 18:39:19,181 [INFO] Epoch 1, Batch 62: Loss = 0.5750
2025-04-11 18:39:19,409 [INFO] Epoch 1, Batch 63: Loss = 0.6434
2025-04-11 18:39:19,852 [INFO] Epoch 1, Batch 64: Loss = 0.3980
2025-04-11 18:39:20,252 [INFO] Epoch 1, Batch 65: Loss = 0.6240
2025-04-11 18:39:20,657 [INFO] Epoch 1, Batch 66: Loss = 0.5323
2025-04-11 18:39:20,857 [INFO] Epoch 1, Batch 67: Loss = 0.6637
2025-04-11 18:39:21,088 [INFO] Epoch 1, Batch 68: Loss = 0.4804
2025-04-11 18:39:21,362 [INFO] Epoch 1, Batch 69: Loss = 0.5969
2025-04-11 18:39:21,784 [INFO] Epoch 1, Batch 70: Loss = 0.5306
2025-04-11 18:39:22,301 [INFO] Epoch 1, Batch 71: Loss = 0.4347
2025-04-11 18:39:22,386 [INFO] Epoch 1, Batch 72: Loss = 0.6590
2025-04-11 18:39:22,955 [INFO] Epoch 1, Batch 73: Loss = 0.4136
2025-04-11 18:39:23,280 [INFO] Epoch 1, Batch 74: Loss = 0.5758
2025-04-11 18:39:23,624 [INFO] Epoch 1, Batch 75: Loss = 0.5005
2025-04-11 18:39:24,010 [INFO] Epoch 1, Batch 76: Loss = 0.5554
2025-04-11 18:39:24,695 [INFO] Epoch 1, Batch 77: Loss = 0.3922
2025-04-11 18:39:25,081 [INFO] Epoch 1, Batch 78: Loss = 0.5258
2025-04-11 18:39:25,352 [INFO] Epoch 1, Batch 79: Loss = 0.6592
2025-04-11 18:39:25,733 [INFO] Epoch 1, Batch 80: Loss = 0.6604
2025-04-11 18:39:26,258 [INFO] Epoch 1, Batch 81: Loss = 0.5980
2025-04-11 18:39:26,755 [INFO] Epoch 1, Batch 82: Loss = 0.5817
2025-04-11 18:39:27,115 [INFO] Epoch 1, Batch 83: Loss = 0.4951
2025-04-11 18:39:27,287 [INFO] Epoch 1, Batch 84: Loss = 0.6523
2025-04-11 18:39:27,775 [INFO] Epoch 1, Batch 85: Loss = 0.3460
2025-04-11 18:39:28,124 [INFO] Epoch 1, Batch 86: Loss = 0.3915
2025-04-11 18:39:28,735 [INFO] Epoch 1, Batch 87: Loss = 0.2896
2025-04-11 18:39:29,059 [INFO] Epoch 1, Batch 88: Loss = 0.4229
2025-04-11 18:39:29,459 [INFO] Epoch 1, Batch 89: Loss = 0.5078
2025-04-11 18:39:29,720 [INFO] Epoch 1, Batch 90: Loss = 0.5572
2025-04-11 18:39:30,149 [INFO] Epoch 1, Batch 91: Loss = 0.5830
2025-04-11 18:39:30,461 [INFO] Epoch 1, Batch 92: Loss = 0.6417
2025-04-11 18:39:30,900 [INFO] Epoch 1, Batch 93: Loss = 0.4227
2025-04-11 18:39:31,388 [INFO] Epoch 1, Batch 94: Loss = 0.4186
2025-04-11 18:39:31,798 [INFO] Epoch 1, Batch 95: Loss = 0.3202
2025-04-11 18:39:31,921 [INFO] Epoch 1, Batch 96: Loss = 0.5873
2025-04-11 18:39:32,175 [INFO] Epoch 1, Batch 97: Loss = 0.6027
2025-04-11 18:39:32,579 [INFO] Epoch 1, Batch 98: Loss = 0.4918
2025-04-11 18:39:32,830 [INFO] Epoch 1, Batch 99: Loss = 0.6347
2025-04-11 18:39:33,050 [INFO] Epoch 1, Batch 100: Loss = 0.6100
2025-04-11 18:39:33,403 [INFO] Epoch 1, Batch 101: Loss = 0.4811
2025-04-11 18:39:33,775 [INFO] Epoch 1, Batch 102: Loss = 0.5587
2025-04-11 18:39:33,852 [INFO] Epoch 1, Batch 103: Loss = 0.5723
2025-04-11 18:39:33,852 [INFO] Epoch 1: Avg Loss = 0.5168, Time: 42.88s
2025-04-11 18:39:47,353 [INFO] Epoch 1: auROC = 0.8003, Accuracy = 0.7661
2025-04-11 18:39:47,361 [INFO] New best model saved (AUC: 0.8003)
2025-04-11 18:39:47,882 [INFO] Epoch 2, Batch 1: Loss = 0.4596
2025-04-11 18:39:48,328 [INFO] Epoch 2, Batch 2: Loss = 0.4236
2025-04-11 18:39:48,794 [INFO] Epoch 2, Batch 3: Loss = 0.4360
2025-04-11 18:39:49,148 [INFO] Epoch 2, Batch 4: Loss = 0.6003
2025-04-11 18:39:49,562 [INFO] Epoch 2, Batch 5: Loss = 0.4769
2025-04-11 18:39:50,061 [INFO] Epoch 2, Batch 6: Loss = 0.3963
2025-04-11 18:39:50,361 [INFO] Epoch 2, Batch 7: Loss = 0.6212
2025-04-11 18:39:50,711 [INFO] Epoch 2, Batch 8: Loss = 0.6023
2025-04-11 18:39:50,814 [INFO] Epoch 2, Batch 9: Loss = 0.6214
2025-04-11 18:39:51,145 [INFO] Epoch 2, Batch 10: Loss = 0.3500
2025-04-11 18:39:51,709 [INFO] Epoch 2, Batch 11: Loss = 0.3608
2025-04-11 18:39:52,093 [INFO] Epoch 2, Batch 12: Loss = 0.6048
2025-04-11 18:39:52,467 [INFO] Epoch 2, Batch 13: Loss = 0.2981
2025-04-11 18:39:52,797 [INFO] Epoch 2, Batch 14: Loss = 0.5329
2025-04-11 18:39:53,124 [INFO] Epoch 2, Batch 15: Loss = 0.4899
2025-04-11 18:39:53,434 [INFO] Epoch 2, Batch 16: Loss = 0.6306
2025-04-11 18:39:53,585 [INFO] Epoch 2, Batch 17: Loss = 0.6398
2025-04-11 18:39:53,822 [INFO] Epoch 2, Batch 18: Loss = 0.6758
2025-04-11 18:39:55,061 [INFO] Epoch 2, Batch 19: Loss = 0.5482
2025-04-11 18:39:55,493 [INFO] Epoch 2, Batch 20: Loss = 0.4669
2025-04-11 18:39:55,790 [INFO] Epoch 2, Batch 21: Loss = 0.6534
2025-04-11 18:39:56,267 [INFO] Epoch 2, Batch 22: Loss = 0.5549
2025-04-11 18:39:56,666 [INFO] Epoch 2, Batch 23: Loss = 0.4324
2025-04-11 18:39:57,025 [INFO] Epoch 2, Batch 24: Loss = 0.3494
2025-04-11 18:39:57,241 [INFO] Epoch 2, Batch 25: Loss = 0.6511
2025-04-11 18:39:57,468 [INFO] Epoch 2, Batch 26: Loss = 0.6822
2025-04-11 18:39:57,943 [INFO] Epoch 2, Batch 27: Loss = 0.3646
2025-04-11 18:39:58,464 [INFO] Epoch 2, Batch 28: Loss = 0.4631
2025-04-11 18:39:58,820 [INFO] Epoch 2, Batch 29: Loss = 0.6056
2025-04-11 18:39:59,899 [INFO] Epoch 2, Batch 30: Loss = 0.4357
2025-04-11 18:40:00,488 [INFO] Epoch 2, Batch 31: Loss = 0.5840
2025-04-11 18:40:00,897 [INFO] Epoch 2, Batch 32: Loss = 0.6642
2025-04-11 18:40:01,427 [INFO] Epoch 2, Batch 33: Loss = 0.4980
2025-04-11 18:40:01,813 [INFO] Epoch 2, Batch 34: Loss = 0.6466
2025-04-11 18:40:02,392 [INFO] Epoch 2, Batch 35: Loss = 0.6583
2025-04-11 18:40:02,769 [INFO] Epoch 2, Batch 36: Loss = 0.4643
2025-04-11 18:40:03,066 [INFO] Epoch 2, Batch 37: Loss = 0.4979
2025-04-11 18:40:03,398 [INFO] Epoch 2, Batch 38: Loss = 0.3256
2025-04-11 18:40:03,879 [INFO] Epoch 2, Batch 39: Loss = 0.4375
2025-04-11 18:40:04,197 [INFO] Epoch 2, Batch 40: Loss = 0.6223
2025-04-11 18:40:04,750 [INFO] Epoch 2, Batch 41: Loss = 0.4662
2025-04-11 18:40:05,157 [INFO] Epoch 2, Batch 42: Loss = 0.5323
2025-04-11 18:40:05,383 [INFO] Epoch 2, Batch 43: Loss = 0.6373
2025-04-11 18:40:05,846 [INFO] Epoch 2, Batch 44: Loss = 0.3613
2025-04-11 18:40:05,971 [INFO] Epoch 2, Batch 45: Loss = 0.6174
2025-04-11 18:40:06,475 [INFO] Epoch 2, Batch 46: Loss = 0.5619
2025-04-11 18:40:06,904 [INFO] Epoch 2, Batch 47: Loss = 0.5257
2025-04-11 18:40:07,574 [INFO] Epoch 2, Batch 48: Loss = 0.3624
2025-04-11 18:40:08,106 [INFO] Epoch 2, Batch 49: Loss = 0.4214
2025-04-11 18:40:08,543 [INFO] Epoch 2, Batch 50: Loss = 0.5320
2025-04-11 18:40:09,133 [INFO] Epoch 2, Batch 51: Loss = 0.3638
2025-04-11 18:40:09,389 [INFO] Epoch 2, Batch 52: Loss = 0.5735
2025-04-11 18:40:09,930 [INFO] Epoch 2, Batch 53: Loss = 0.5565
2025-04-11 18:40:10,365 [INFO] Epoch 2, Batch 54: Loss = 0.6938
2025-04-11 18:40:10,814 [INFO] Epoch 2, Batch 55: Loss = 0.5221
2025-04-11 18:40:11,217 [INFO] Epoch 2, Batch 56: Loss = 0.3417
2025-04-11 18:40:11,635 [INFO] Epoch 2, Batch 57: Loss = 0.6279
2025-04-11 18:40:12,258 [INFO] Epoch 2, Batch 58: Loss = 0.5066
2025-04-11 18:40:12,629 [INFO] Epoch 2, Batch 59: Loss = 0.5595
2025-04-11 18:40:12,967 [INFO] Epoch 2, Batch 60: Loss = 0.6143
2025-04-11 18:40:13,318 [INFO] Epoch 2, Batch 61: Loss = 0.4840
2025-04-11 18:40:13,559 [INFO] Epoch 2, Batch 62: Loss = 0.5996
2025-04-11 18:40:13,809 [INFO] Epoch 2, Batch 63: Loss = 0.5038
2025-04-11 18:40:14,036 [INFO] Epoch 2, Batch 64: Loss = 0.6071
2025-04-11 18:40:14,771 [INFO] Epoch 2, Batch 65: Loss = 0.3691
2025-04-11 18:40:15,310 [INFO] Epoch 2, Batch 66: Loss = 0.4305
2025-04-11 18:40:16,029 [INFO] Epoch 2, Batch 67: Loss = 0.3469
2025-04-11 18:40:16,401 [INFO] Epoch 2, Batch 68: Loss = 0.5350
2025-04-11 18:40:17,025 [INFO] Epoch 2, Batch 69: Loss = 0.1985
2025-04-11 18:40:17,398 [INFO] Epoch 2, Batch 70: Loss = 0.6592
2025-04-11 18:40:17,673 [INFO] Epoch 2, Batch 71: Loss = 0.5051
2025-04-11 18:40:18,563 [INFO] Epoch 2, Batch 72: Loss = 0.2400
2025-04-11 18:40:20,172 [INFO] Epoch 2, Batch 73: Loss = 0.5338
2025-04-11 18:40:20,836 [INFO] Epoch 2, Batch 74: Loss = 0.3326
2025-04-11 18:40:21,151 [INFO] Epoch 2, Batch 75: Loss = 0.5141
2025-04-11 18:40:21,614 [INFO] Epoch 2, Batch 76: Loss = 0.6278
2025-04-11 18:40:21,955 [INFO] Epoch 2, Batch 77: Loss = 0.5960
2025-04-11 18:40:22,345 [INFO] Epoch 2, Batch 78: Loss = 0.6452
2025-04-11 18:40:22,842 [INFO] Epoch 2, Batch 79: Loss = 0.5485
2025-04-11 18:40:23,292 [INFO] Epoch 2, Batch 80: Loss = 0.6778
2025-04-11 18:40:23,802 [INFO] Epoch 2, Batch 81: Loss = 0.5755
2025-04-11 18:40:24,212 [INFO] Epoch 2, Batch 82: Loss = 0.6210
2025-04-11 18:40:24,520 [INFO] Epoch 2, Batch 83: Loss = 0.6356
2025-04-11 18:40:24,639 [INFO] Epoch 2, Batch 84: Loss = 0.6286
2025-04-11 18:40:24,943 [INFO] Epoch 2, Batch 85: Loss = 0.4963
2025-04-11 18:40:25,185 [INFO] Epoch 2, Batch 86: Loss = 0.6338
2025-04-11 18:40:25,572 [INFO] Epoch 2, Batch 87: Loss = 0.4787
2025-04-11 18:40:25,771 [INFO] Epoch 2, Batch 88: Loss = 0.6169
2025-04-11 18:40:26,041 [INFO] Epoch 2, Batch 89: Loss = 0.4778
2025-04-11 18:40:26,396 [INFO] Epoch 2, Batch 90: Loss = 0.6628
2025-04-11 18:40:26,552 [INFO] Epoch 2, Batch 91: Loss = 0.5041
2025-04-11 18:40:26,924 [INFO] Epoch 2, Batch 92: Loss = 0.4728
2025-04-11 18:40:27,392 [INFO] Epoch 2, Batch 93: Loss = 0.4578
2025-04-11 18:40:27,803 [INFO] Epoch 2, Batch 94: Loss = 0.4849
2025-04-11 18:40:27,909 [INFO] Epoch 2, Batch 95: Loss = 0.5797
2025-04-11 18:40:28,040 [INFO] Epoch 2, Batch 96: Loss = 0.6345
2025-04-11 18:40:28,267 [INFO] Epoch 2, Batch 97: Loss = 0.6063
2025-04-11 18:40:28,415 [INFO] Epoch 2, Batch 98: Loss = 0.6552
2025-04-11 18:40:29,308 [INFO] Epoch 2, Batch 99: Loss = 0.3401
2025-04-11 18:40:29,902 [INFO] Epoch 2, Batch 100: Loss = 0.6588
2025-04-11 18:40:30,473 [INFO] Epoch 2, Batch 101: Loss = 0.4490
2025-04-11 18:40:30,645 [INFO] Epoch 2, Batch 102: Loss = 0.6153
2025-04-11 18:40:30,816 [INFO] Epoch 2, Batch 103: Loss = 0.3714
2025-04-11 18:40:30,816 [INFO] Epoch 2: Avg Loss = 0.5076, Time: 43.46s
2025-04-11 18:40:43,172 [INFO] Epoch 2: auROC = 0.7852, Accuracy = 0.7577
2025-04-11 18:40:43,406 [INFO] Epoch 3, Batch 1: Loss = 0.5985
2025-04-11 18:40:43,867 [INFO] Epoch 3, Batch 2: Loss = 0.6646
2025-04-11 18:40:44,361 [INFO] Epoch 3, Batch 3: Loss = 0.4260
2025-04-11 18:40:44,671 [INFO] Epoch 3, Batch 4: Loss = 0.5057
2025-04-11 18:40:45,324 [INFO] Epoch 3, Batch 5: Loss = 0.4576
2025-04-11 18:40:45,585 [INFO] Epoch 3, Batch 6: Loss = 0.5231
2025-04-11 18:40:45,902 [INFO] Epoch 3, Batch 7: Loss = 0.3021
2025-04-11 18:40:46,222 [INFO] Epoch 3, Batch 8: Loss = 0.5031
2025-04-11 18:40:46,594 [INFO] Epoch 3, Batch 9: Loss = 0.4830
2025-04-11 18:40:46,934 [INFO] Epoch 3, Batch 10: Loss = 0.6180
2025-04-11 18:40:47,282 [INFO] Epoch 3, Batch 11: Loss = 0.6364
2025-04-11 18:40:47,517 [INFO] Epoch 3, Batch 12: Loss = 0.6034
2025-04-11 18:40:47,916 [INFO] Epoch 3, Batch 13: Loss = 0.4398
2025-04-11 18:40:48,429 [INFO] Epoch 3, Batch 14: Loss = 0.4393
2025-04-11 18:40:48,704 [INFO] Epoch 3, Batch 15: Loss = 0.4919
2025-04-11 18:40:49,102 [INFO] Epoch 3, Batch 16: Loss = 0.5345
2025-04-11 18:40:49,284 [INFO] Epoch 3, Batch 17: Loss = 0.6686
2025-04-11 18:40:49,779 [INFO] Epoch 3, Batch 18: Loss = 0.3659
2025-04-11 18:40:50,405 [INFO] Epoch 3, Batch 19: Loss = 0.5446
2025-04-11 18:40:50,933 [INFO] Epoch 3, Batch 20: Loss = 0.4304
2025-04-11 18:40:51,299 [INFO] Epoch 3, Batch 21: Loss = 0.4035
2025-04-11 18:40:51,774 [INFO] Epoch 3, Batch 22: Loss = 0.4845
2025-04-11 18:40:51,924 [INFO] Epoch 3, Batch 23: Loss = 0.6279
2025-04-11 18:40:52,357 [INFO] Epoch 3, Batch 24: Loss = 0.3933
2025-04-11 18:40:52,740 [INFO] Epoch 3, Batch 25: Loss = 0.5941
2025-04-11 18:40:53,181 [INFO] Epoch 3, Batch 26: Loss = 0.6325
2025-04-11 18:40:53,520 [INFO] Epoch 3, Batch 27: Loss = 0.6628
2025-04-11 18:40:53,913 [INFO] Epoch 3, Batch 28: Loss = 0.6442
2025-04-11 18:40:54,292 [INFO] Epoch 3, Batch 29: Loss = 0.6259
2025-04-11 18:40:54,835 [INFO] Epoch 3, Batch 30: Loss = 0.4321
2025-04-11 18:40:55,315 [INFO] Epoch 3, Batch 31: Loss = 0.5916
2025-04-11 18:40:55,598 [INFO] Epoch 3, Batch 32: Loss = 0.4918
2025-04-11 18:40:56,019 [INFO] Epoch 3, Batch 33: Loss = 0.3411
2025-04-11 18:40:56,712 [INFO] Epoch 3, Batch 34: Loss = 0.4070
2025-04-11 18:40:57,248 [INFO] Epoch 3, Batch 35: Loss = 0.4277
2025-04-11 18:40:57,529 [INFO] Epoch 3, Batch 36: Loss = 0.6136
2025-04-11 18:40:58,886 [INFO] Epoch 3, Batch 37: Loss = 0.3493
2025-04-11 18:40:59,372 [INFO] Epoch 3, Batch 38: Loss = 0.3941
2025-04-11 18:40:59,662 [INFO] Epoch 3, Batch 39: Loss = 0.6553
2025-04-11 18:41:00,222 [INFO] Epoch 3, Batch 40: Loss = 0.4821
2025-04-11 18:41:00,700 [INFO] Epoch 3, Batch 41: Loss = 0.4101
2025-04-11 18:41:01,159 [INFO] Epoch 3, Batch 42: Loss = 0.6407
2025-04-11 18:41:01,586 [INFO] Epoch 3, Batch 43: Loss = 0.6449
2025-04-11 18:41:01,904 [INFO] Epoch 3, Batch 44: Loss = 0.6438
2025-04-11 18:41:02,310 [INFO] Epoch 3, Batch 45: Loss = 0.6200
2025-04-11 18:41:02,718 [INFO] Epoch 3, Batch 46: Loss = 0.6607
2025-04-11 18:41:03,122 [INFO] Epoch 3, Batch 47: Loss = 0.4709
2025-04-11 18:41:03,611 [INFO] Epoch 3, Batch 48: Loss = 0.6321
2025-04-11 18:41:04,152 [INFO] Epoch 3, Batch 49: Loss = 0.3400
2025-04-11 18:41:04,515 [INFO] Epoch 3, Batch 50: Loss = 0.5770
2025-04-11 18:41:04,950 [INFO] Epoch 3, Batch 51: Loss = 0.4739
2025-04-11 18:41:05,661 [INFO] Epoch 3, Batch 52: Loss = 0.4141
2025-04-11 18:41:06,334 [INFO] Epoch 3, Batch 53: Loss = 0.4406
2025-04-11 18:41:06,820 [INFO] Epoch 3, Batch 54: Loss = 0.3980
2025-04-11 18:41:07,112 [INFO] Epoch 3, Batch 55: Loss = 0.4912
2025-04-11 18:41:08,779 [INFO] Epoch 3, Batch 56: Loss = 0.4755
2025-04-11 18:41:09,224 [INFO] Epoch 3, Batch 57: Loss = 0.3319
2025-04-11 18:41:09,478 [INFO] Epoch 3, Batch 58: Loss = 0.6418
2025-04-11 18:41:09,848 [INFO] Epoch 3, Batch 59: Loss = 0.6003
2025-04-11 18:41:10,248 [INFO] Epoch 3, Batch 60: Loss = 0.4471
2025-04-11 18:41:10,733 [INFO] Epoch 3, Batch 61: Loss = 0.2982
2025-04-11 18:41:11,142 [INFO] Epoch 3, Batch 62: Loss = 0.5035
2025-04-11 18:41:12,124 [INFO] Epoch 3, Batch 63: Loss = 0.2116
2025-04-11 18:41:13,252 [INFO] Epoch 3, Batch 64: Loss = 0.2670
2025-04-11 18:41:13,674 [INFO] Epoch 3, Batch 65: Loss = 0.6306
2025-04-11 18:41:14,084 [INFO] Epoch 3, Batch 66: Loss = 0.4979
2025-04-11 18:41:14,551 [INFO] Epoch 3, Batch 67: Loss = 0.5083
2025-04-11 18:41:14,918 [INFO] Epoch 3, Batch 68: Loss = 0.4586
2025-04-11 18:41:15,361 [INFO] Epoch 3, Batch 69: Loss = 0.4409
2025-04-11 18:41:15,779 [INFO] Epoch 3, Batch 70: Loss = 0.5855
2025-04-11 18:41:15,933 [INFO] Epoch 3, Batch 71: Loss = 0.6338
2025-04-11 18:41:16,419 [INFO] Epoch 3, Batch 72: Loss = 0.5472
2025-04-11 18:41:16,592 [INFO] Epoch 3, Batch 73: Loss = 0.6361
2025-04-11 18:41:16,669 [INFO] Epoch 3, Batch 74: Loss = 0.6916
2025-04-11 18:41:17,006 [INFO] Epoch 3, Batch 75: Loss = 0.6263
2025-04-11 18:41:17,401 [INFO] Epoch 3, Batch 76: Loss = 0.6658
2025-04-11 18:41:17,691 [INFO] Epoch 3, Batch 77: Loss = 0.5656
2025-04-11 18:41:17,992 [INFO] Epoch 3, Batch 78: Loss = 0.4669
2025-04-11 18:41:18,347 [INFO] Epoch 3, Batch 79: Loss = 0.6379
2025-04-11 18:41:18,851 [INFO] Epoch 3, Batch 80: Loss = 0.6450
2025-04-11 18:41:19,287 [INFO] Epoch 3, Batch 81: Loss = 0.5845
2025-04-11 18:41:19,768 [INFO] Epoch 3, Batch 82: Loss = 0.3712
2025-04-11 18:41:20,012 [INFO] Epoch 3, Batch 83: Loss = 0.6134
2025-04-11 18:41:20,317 [INFO] Epoch 3, Batch 84: Loss = 0.5602
2025-04-11 18:41:20,603 [INFO] Epoch 3, Batch 85: Loss = 0.5532
2025-04-11 18:41:20,738 [INFO] Epoch 3, Batch 86: Loss = 0.6550
2025-04-11 18:41:20,902 [INFO] Epoch 3, Batch 87: Loss = 0.5787
2025-04-11 18:41:21,189 [INFO] Epoch 3, Batch 88: Loss = 0.6867
2025-04-11 18:41:21,755 [INFO] Epoch 3, Batch 89: Loss = 0.6859
2025-04-11 18:41:21,991 [INFO] Epoch 3, Batch 90: Loss = 0.4206
2025-04-11 18:41:22,577 [INFO] Epoch 3, Batch 91: Loss = 0.3997
2025-04-11 18:41:23,176 [INFO] Epoch 3, Batch 92: Loss = 0.5525
2025-04-11 18:41:23,311 [INFO] Epoch 3, Batch 93: Loss = 0.5776
2025-04-11 18:41:23,934 [INFO] Epoch 3, Batch 94: Loss = 0.6450
2025-04-11 18:41:24,889 [INFO] Epoch 3, Batch 95: Loss = 0.4034
2025-04-11 18:41:25,429 [INFO] Epoch 3, Batch 96: Loss = 0.4440
2025-04-11 18:41:25,708 [INFO] Epoch 3, Batch 97: Loss = 0.6513
2025-04-11 18:41:25,883 [INFO] Epoch 3, Batch 98: Loss = 0.5861
2025-04-11 18:41:26,210 [INFO] Epoch 3, Batch 99: Loss = 0.5742
2025-04-11 18:41:26,375 [INFO] Epoch 3, Batch 100: Loss = 0.5255
2025-04-11 18:41:26,682 [INFO] Epoch 3, Batch 101: Loss = 0.5102
2025-04-11 18:41:26,987 [INFO] Epoch 3, Batch 102: Loss = 0.6094
2025-04-11 18:41:27,489 [INFO] Epoch 3, Batch 103: Loss = 0.3750
2025-04-11 18:41:27,489 [INFO] Epoch 3: Avg Loss = 0.5057, Time: 44.31s
2025-04-11 18:41:41,160 [INFO] Epoch 3: auROC = 0.7908, Accuracy = 0.7630
2025-04-11 18:41:41,385 [INFO] Epoch 4, Batch 1: Loss = 0.6634
